device,故障小时,故障星期,故障月份,故障季度,是否周末,是否工作日高峰,维修时长_小时,响应时间_小时,维修类型,历史次数,上次间隔_小时,平均间隔_小时,间隔标准差_小时,近期趋势_比值,最近3次平均_小时,最近3次趋势,运行天数,故障频率_次每天,故障加速比,平均维修时长_小时,响应时间趋势,车站编码,品牌编码,线路编码,故障间隔_小时
1000030544,7,1,9,3,0,1,0.23,0.05,0,9,580.3333333333334,765.3703703703703,539.1209416199921,0.7582385676165148,542.9166666666666,0.6193456389060297,307.8597222222222,0.02923409381076338,1.0,0.21777777777777776,-1.9915740740740742,37,1,2,500.3
1000030544,7,6,11,4,1,0,0.1,0.08333333333333333,0,10,500.3,738.8633333333333,517.6000945095064,0.6771211635799522,695.9111111111112,0.9189718307671244,354.8333333333333,0.028182245185533115,1.0,0.219,-1.7590833333333336,37,1,2,1127.3666666666666
1000030559,0,2,7,3,0,0,0.53,0.4,0,1,5439.265,5439.265,0.0,0.9999999999981616,5439.265,1.0,232.2111111111111,0.0043064261447916165,1.0,0.22,0.04833333333333334,37,3,2,133.80166666666668
1000030559,7,5,8,3,1,0,0.08,0.06666666666666667,0,2,133.80166666666668,2786.5333333333333,2652.731666666667,0.04801724962899655,2786.5333333333333,1.0,242.5076388888889,0.008247162890057873,1.0,0.375,-0.3091666666666667,37,3,2,247.11666666666667
1000030559,9,2,11,4,0,1,0.18,0.13333333333333333,0,3,247.11666666666667,1940.0611111111111,2474.7432141965214,0.12737571267735187,1940.0611111111111,1.0,330.56597222222223,0.009075344264361417,1.0,0.27666666666666667,-0.13944444444444445,37,3,2,2113.4
1000030600,10,0,11,4,0,0,0.08,0.058333333333333334,0,1,367.3833333333333,367.3833333333333,0.0,0.9999999999727804,367.3833333333333,1.0,17.86076388888889,0.05598864674663193,1.0,0.15,-0.12499999999999999,118,1,2,61.275
1000030600,8,0,1,1,0,1,0.17,0.25,0,2,61.275,214.32916666666665,153.05416666666667,0.2858920274366504,214.32916666666665,1.0,101.775,0.019651191353475803,1.0,0.11499999999999999,0.12916666666666668,118,1,2,2013.9416666666666
1000030600,8,6,3,1,1,0,0.22,0.4166666666666667,0,3,2013.9416666666666,814.1999999999999,857.5004870692926,2.473522066619911,814.1999999999999,1.0,149.78680555555556,0.02002846638509363,1.0,0.13333333333333333,0.25277777777777777,118,1,2,1152.2833333333333
1000030600,15,3,5,2,0,0,0.18,0.07666666666666666,0,4,1152.2833333333333,898.7208333333333,756.9092599480725,1.2821371115285283,1075.8333333333333,1.0,203.07597222222222,0.019697061923322347,1.0,0.155,-0.15041666666666667,118,1,2,1278.94
1000030600,16,1,7,3,0,0,0.1,1.7666666666666666,0,5,1278.94,974.7646666666667,693.8731588613456,1.312050019581013,1481.7216666666666,1.0,271.1222222222222,0.018441867136592762,1.0,0.16,1.5696666666666665,118,1,2,1633.11
