设备编号,维修时长_小时,维修响应_小时,累计故障次数,设备总故障次数,设备故障频率_次每天,最近3次平均间隔,上次故障间隔_小时,上次维修时长_小时,设备平均故障间隔,设备平均维修时长,故障小时,故障星期,是否周末,故障间隔_小时
1000001424,0.27,0.016666666666666666,234,12,0.04213534516601765,644.9944444444444,1758.9008333333334,0.33,609.6805555555555,0.32166666666666666,7,5,1,88.36666666666666
1000001424,0.12,0.08333333333333333,234,12,0.04213534516601765,713.9502777777776,88.36666666666666,0.27,609.6805555555555,0.32166666666666666,13,3,0,294.5833333333333
1000001424,0.2,0.03333333333333333,234,12,0.04213534516601765,285.5944444444444,294.5833333333333,0.12,609.6805555555555,0.32166666666666666,7,2,0,473.8333333333333
1000001424,0.08,0.08333333333333333,234,12,0.04213534516601765,394.58333333333326,473.8333333333333,0.2,609.6805555555555,0.32166666666666666,14,5,1,415.3333333333333
1000001424,0.28,0.85,234,12,0.04213534516601765,433.02777777777766,415.3333333333333,0.08,609.6805555555555,0.32166666666666666,16,1,0,409.9166666666667
1000001425,0.22,0.0,95,8,0.02947286551981743,1074.1877777777777,407.2986111111111,0.23,948.5818055555555,0.4275,8,0,0,1074.1877777777777
1000001425,0.25,0.0,95,8,0.02947286551981743,600.0772222222222,1074.1877777777777,0.22,948.5818055555555,0.4275,14,5,1,125.96666666666667
1000001425,0.42,0.0,95,8,0.02947286551981743,526.6625925925925,125.96666666666667,0.25,948.5818055555555,0.4275,9,0,0,379.8333333333333
1000001425,1.48,0.35,95,8,0.02947286551981743,226.87777777777777,379.8333333333333,0.42,948.5818055555555,0.4275,16,0,0,174.83333333333334
1000001425,0.22,0.04805555555555555,95,8,0.02947286551981743,274.68953703703704,174.83333333333334,1.48,948.5818055555555,0.4275,22,4,0,269.40194444444444
1000001425,0.25,0.08333333333333333,95,8,0.02947286551981743,355.22222222222223,269.40194444444444,0.22,948.5818055555555,0.4275,19,2,0,621.4313888888889
1000001425,0.25,0.08333333333333333,95,8,0.02947286551981743,1423.2222222222224,621.4313888888889,0.25,948.5818055555555,0.4275,14,3,0,3378.8333333333335
1000001425,0.33,0.16666666666666666,95,8,0.02947286551981743,1854.8104629629631,3378.8333333333335,0.25,948.5818055555555,0.4275,18,5,1,1564.1666666666667
1000001429,0.42,0.08333333333333333,215,24,0.07847946045370938,847.1666666666666,407.2986111111111,0.23,341.1111111111111,0.3229166666666667,14,0,0,847.1666666666666
1000001429,0.17,0.05,215,24,0.07847946045370938,532.6833333333333,847.1666666666666,0.42,341.1111111111111,0.3229166666666667,16,2,0,218.2
